epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.86,1.42374,3.03332,1.43133,0.51319,0.38465,0.35346,0.19606,1.36027,2.0542,1.42417,0.0033314,0.0033314,0.0033314
2,328.136,1.35728,2.22509,1.3515,0.49627,0.45641,0.38632,0.21079,1.40023,1.895,1.41654,0.00653277,0.00653277,0.00653277
3,486.799,1.42525,1.99987,1.39677,0.50736,0.42584,0.31631,0.17724,1.50754,2.31107,1.58673,0.00960215,0.00960215,0.00960215
4,637.584,1.43988,1.87712,1.42169,0.52456,0.46153,0.39535,0.22635,1.39329,1.93636,1.43616,0.009406,0.009406,0.009406
5,787.042,1.39078,1.70956,1.38356,0.66395,0.41868,0.36923,0.22121,1.31307,2.16005,1.41524,0.009208,0.009208,0.009208
6,932.136,1.35334,1.63241,1.35711,0.60846,0.41828,0.41869,0.24459,1.34516,1.99096,1.41045,0.00901,0.00901,0.00901
7,1090.01,1.31097,1.5631,1.33862,0.5489,0.49441,0.42554,0.25852,1.25956,1.91441,1.38193,0.008812,0.008812,0.008812
8,1248.21,1.28559,1.49899,1.31933,0.52615,0.4877,0.42098,0.25797,1.27183,1.89369,1.36768,0.008614,0.008614,0.008614
9,1404.75,1.26043,1.45682,1.29883,0.45043,0.48149,0.41791,0.26426,1.24404,2.16583,1.38605,0.008416,0.008416,0.008416
10,1567.66,1.23512,1.40624,1.28569,0.44214,0.52856,0.43628,0.27474,1.23625,1.92613,1.35527,0.008218,0.008218,0.008218
11,1726.2,1.2157,1.38571,1.27266,0.44371,0.51715,0.44286,0.29007,1.24797,1.95667,1.38224,0.00802,0.00802,0.00802
12,1888.37,1.1992,1.35529,1.26309,0.44295,0.54955,0.45114,0.28585,1.21571,1.83964,1.34314,0.007822,0.007822,0.007822
13,2051.2,1.18704,1.34262,1.25825,0.4838,0.53598,0.45825,0.29026,1.23017,2.01938,1.36947,0.007624,0.007624,0.007624
14,2207.8,1.17395,1.3095,1.24691,0.4703,0.51792,0.44866,0.28638,1.22194,2.11426,1.34959,0.007426,0.007426,0.007426
15,2370.52,1.15185,1.28169,1.23024,0.59877,0.49634,0.47916,0.31591,1.1868,2.04241,1.3086,0.007228,0.007228,0.007228
16,2524.51,1.14422,1.26952,1.22314,0.61125,0.52262,0.48411,0.31718,1.15689,1.93995,1.29976,0.00703,0.00703,0.00703
17,2686.43,1.12526,1.25508,1.21542,0.58573,0.53527,0.47771,0.31816,1.17102,2.04588,1.31102,0.006832,0.006832,0.006832
18,2847.3,1.12114,1.23579,1.20889,0.59575,0.50807,0.46706,0.31356,1.16519,2.00298,1.30637,0.006634,0.006634,0.006634
19,3005.58,1.104,1.20847,1.19532,0.6142,0.5463,0.48695,0.33199,1.1266,1.99097,1.28861,0.006436,0.006436,0.006436
20,3165.82,1.09491,1.19639,1.19558,0.51478,0.56065,0.48419,0.32213,1.16651,2.10243,1.31285,0.006238,0.006238,0.006238
21,3325.88,1.08962,1.20264,1.19324,0.50338,0.57132,0.48672,0.33203,1.14348,1.95765,1.30211,0.00604,0.00604,0.00604
22,3486.91,1.07427,1.17656,1.17899,0.4898,0.55248,0.49402,0.33178,1.14356,1.89757,1.29894,0.005842,0.005842,0.005842
23,3653.72,1.06952,1.16369,1.1776,0.50839,0.54978,0.49237,0.34028,1.16116,2.02409,1.30975,0.005644,0.005644,0.005644
24,3824.03,1.06566,1.15384,1.17285,0.49373,0.57916,0.49744,0.34411,1.12481,1.9321,1.28051,0.005446,0.005446,0.005446
25,3996.35,1.04524,1.13286,1.16496,0.50408,0.56773,0.50354,0.34809,1.10976,1.91103,1.27998,0.005248,0.005248,0.005248
26,4157.32,1.04589,1.13642,1.16317,0.51251,0.58427,0.5062,0.35023,1.13058,1.93996,1.29721,0.00505,0.00505,0.00505
27,4319.18,1.03467,1.12498,1.15861,0.52689,0.55625,0.51067,0.35814,1.09825,1.91903,1.26491,0.004852,0.004852,0.004852
28,4478.34,1.01669,1.11191,1.14902,0.5271,0.56993,0.51063,0.35442,1.09642,1.97009,1.27078,0.004654,0.004654,0.004654
29,4640.88,1.01885,1.09142,1.14592,0.51783,0.56527,0.51556,0.36096,1.0989,1.9073,1.26775,0.004456,0.004456,0.004456
30,4800.75,1.00058,1.07397,1.13222,0.51574,0.57118,0.51418,0.36418,1.09435,1.99524,1.26543,0.004258,0.004258,0.004258
31,4960.35,0.9941,1.08511,1.13231,0.50862,0.55766,0.51527,0.36456,1.09131,1.98881,1.27335,0.00406,0.00406,0.00406
32,5117.58,0.98605,1.0701,1.12999,0.52029,0.57217,0.51552,0.3647,1.102,2.03507,1.28986,0.003862,0.003862,0.003862
33,5282.56,0.98697,1.06027,1.12973,0.53469,0.56041,0.51706,0.36375,1.0892,2.03902,1.27207,0.003664,0.003664,0.003664
34,5443.51,0.98118,1.05691,1.12677,0.54079,0.55993,0.5155,0.36744,1.09238,2.03379,1.27813,0.003466,0.003466,0.003466
35,5602.02,0.95795,1.05006,1.11749,0.54696,0.5656,0.52503,0.37527,1.07532,1.99576,1.26652,0.003268,0.003268,0.003268
36,5777.55,0.95807,1.04073,1.11402,0.5329,0.57676,0.51823,0.37073,1.06965,2.02218,1.25668,0.00307,0.00307,0.00307
37,5955.56,0.95116,1.02127,1.10959,0.52847,0.56083,0.52062,0.37065,1.07502,2.02896,1.25875,0.002872,0.002872,0.002872
38,6128.39,0.93821,1.01736,1.10332,0.54544,0.56022,0.52109,0.37425,1.08537,2.04022,1.26722,0.002674,0.002674,0.002674
39,6301.07,0.93255,1.0039,1.10378,0.55051,0.56353,0.52588,0.37862,1.08196,2.04562,1.26958,0.002476,0.002476,0.002476
40,6466.88,0.91829,0.99844,1.09563,0.55526,0.55436,0.5206,0.37543,1.07503,2.12285,1.26266,0.002278,0.002278,0.002278
41,6673.61,0.87291,0.93758,1.07337,0.56349,0.55369,0.52173,0.37622,1.04938,2.02218,1.23844,0.00208,0.00208,0.00208
42,6835.96,0.86193,0.91374,1.06864,0.5545,0.55648,0.52504,0.37748,1.04749,2.0176,1.23152,0.001882,0.001882,0.001882
43,6994.88,0.84734,0.90477,1.05684,0.54972,0.56534,0.53022,0.37986,1.0511,2.01967,1.23394,0.001684,0.001684,0.001684
44,7152.75,0.83846,0.88669,1.05796,0.56246,0.5726,0.53079,0.38105,1.0475,2.02785,1.23038,0.001486,0.001486,0.001486
45,7310.14,0.82825,0.87935,1.04998,0.57069,0.57343,0.52724,0.38172,1.04076,2.02194,1.22719,0.001288,0.001288,0.001288
46,7470.26,0.81861,0.8671,1.0449,0.55503,0.58258,0.52759,0.38235,1.0408,2.05492,1.22933,0.00109,0.00109,0.00109
47,7631.74,0.80483,0.85265,1.03944,0.56012,0.56894,0.52715,0.38453,1.03472,2.06526,1.22544,0.000892,0.000892,0.000892
48,7796.75,0.79366,0.85476,1.03252,0.57841,0.54109,0.5282,0.38441,1.03272,2.07421,1.22713,0.000694,0.000694,0.000694
49,7957.71,0.78604,0.85334,1.02616,0.57685,0.5475,0.5273,0.38319,1.03395,2.08539,1.22864,0.000496,0.000496,0.000496
50,8114.9,0.77512,0.82918,1.02004,0.57629,0.54398,0.5263,0.38301,1.03427,2.09591,1.22945,0.000298,0.000298,0.000298
